Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,252,288,395,443,435,574,564,671,719,759,798,829,818,844,986,1.041,1.137,1.287,1.428,1.974,2.009,2.262,2.506,2.514,2.856,3.142,2.066,3.427,3.509,3.555,2.686,2.715,2.966,3.419,3.489,3.848,4.237,4.575,454,4.927,4.822,2.902,3.749,4.123,4.407,462,4.849,4.666,4.659,5.579,4.526,5.006,5.027,0.53
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.284.707,2.271.187,2.360.831,2.577.254,2.648.591,2.773.453,2.899.063,2.937.032,2.733.683,2.797.218,296.401,3.081.186,3.119.497,3.150.206,3.332.589,3.411.113,3.418.975,3.627.906,3.688.666,3.660.532,3.785.044,3.707.042,3.643.665,3.644.641,3.727.854,3.925.503,4.072.177,423.815,431.596,4.187.064,4.250.283,4.367.736,4.503.511,4.738.282,5.103.818,5.249.183,5.342.282,5.572.732,5.880.186,5.615.363,5.765.684,5.702.894,5.892.651,6.127.969,6.356.297,6.218.665,6.285.365,6.379.068,6.458.367,6.545.401,578.052,6.063.945,5.884.335,5.798.655
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.7339,1.7337,1.6936,1.7339,2.1903,2.029,1.8926,2.2826,1.9341,2.0593,2.1964,2.2599,2.3096,3.2017,3.2247,4.1234,3.9416,3.2728,3.0879,2.896,2.9222,2.847,1.8199,1.7848,1.6852,1.463,1.4172,1.3846,1.4204,1.3755,1.0161,9.447,9.423,1.008,8.929,1.2663,1.4083,2.1996,3.8334,6.0828,7.7889,11.4087,9.7678,8.3,7.8257,8.3465,7.5276,8.0661,7.932,7.2491,7.0541,7.9308,8.2599,8.7073
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,424.161,571.897,705.182,917.246,1.138.563,912.373,1.034.512,904.019,940.102,1.241.053,1.144.605,988.202,948.289,96.64,978.836,1.019.836,993.758,959.753,1.034.346,1.085.949,1.027.717,1.079.857,1.168.532,1.150.574,1.114.613,1.216.235,1.407.514,1.401.474,1.350.238,1.368.567,146.74,1.558.359,1.462.791,1.581.168,1.570.589,1.584.567,1.512.318,1.464.052,1.555.005,1.478.734,1.664.575,1.776.335,1.812.535,1.997.577,2.089.779,2.088.912,217.443,2.182.637,2.304.901,2.404.359,2.359.365,2.491.554,2.514.104,2.456.408
Angola,AGO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,8.9339,8.5195,10.3661,11.347,11.8066,10.9047,7.292,12.0335,142.163,141.794,143.161,132.323,12.7715,132.213,133.566,141.037,142.462,145.016,149.408,151.035,11.2307,11.7805,12.119,12.1416,11.4904,12.9533,156.788,164.021,170.364,180.314,165.119,161.923,159.154,173.296,176.903,156.389,163.202,170.558,191.194,210.889,227.399,23.65,247.162,285.342,308.873,330.975,312.858,279.421,262.589,275.732,207.109,252.628,27.353,282.299
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,4.845,4.8381,5.5183,4.9519,5.3296,5.4241,5.7966,6.2009,6.821,7.9367,8.0735,7.0726,7.273,7.7922,8.4312,8.0739,8.1514,8.2927,8.1996,7.9059,6.645,4.3795,2.363,2.2227,2.3441,02.07,2.0549,1.5805,1.9147,3.0866,3.2325,3.4393,4.1964,4.2112,4.414,4.1485,4.1347,4.2444,4.1946,4.2746,4.5569,4.9882,4.5329,4.7693,5.0958,4.8635,4.5303,5.3415,5.3056,4.9535,4.5608,5.0393,4.609,4.5918
Arab World,ARB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.707.078,2.890.603,3.230.438,373.801,365.893,3.673.776,4.339.417,4.479.059,4.796.342,5.155.544,5.432.508,5.110.704,5.310.643,5.510.051,5.465.349,5.683.927,5.934.645,6.209.081,6.535.816,6.833.993,6.755.995,695.405,7.411.032,7.928.218,8.421.033,8.671.205,8.897.174,9.318.766,9.436.983,9.591.949,9.945.824,1.054.299,10.900.402,11.222.393,1.184.848,12.688.428,13.327.533,13.864.762,14.890.313,15.417.715,16.342.053,16.788.153,17.988.966,18.373.419,19.012.005,19.468.165,19.704.441,20.001.477,19.849.822,20.100.404,19.181.944,20.055.031,20.534.305,20.894.414
United Arab Emirates,ARE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,194.648,254.298,277.474,358.436,360.107,366.794,45.581,458.764,526.114,378.795,411.385,380.555,38.065,367.928,499.812,518.115,502.341,520.698,509.892,56.936,568.876,647.222,625.224,659.141,725.685,774.025,808.908,843.016,864.781,891.524,884.569,1.012.593,1.035.184,1.088.196,1.150.197,1.224.619,1.271.976,1.371.441,1.642.519,1.653.369,1.719.537,1.772.645,1.850.209,1.949.231,1.979.033,2.066.195,2.122.197,204.258,1.870.555,1.976.423,1.954.909,2.013.251,2.068.995,2.059.913
Argentina,ARG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,875.691,878.908,897.154,928.004,932.802,909.167,955.879,995.195,985.796,1.042.683,1.018.262,987.968,980.069,1.014.394,1.008.356,942.104,1.016.382,1.072.494,1.110.341,1.077.763,1.001.876,1.055.928,107.511,1.112.743,1.146.833,1.162.684,1.265.706,1.309.264,1.380.079,1.399.387,1.367.616,1.313.471,124.055,1.352.443,1.497.328,1.536.798,1.626.177,1.731.561,1.793.129,1.649.146,1.774.042,1.848.745,1.888.658,1.932.397,1.900.821,1.962.522,1.941.702,1.913.792,1.898.389,1.832.869,1.701.203,190.662,1.934.816,1.837.784
Armenia,ARM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,10.0995,10.1155,10.8289,11.7685,12.6822,138.422,142.322,147.678,153.786,15.959,170.238,174.361,179.758,180.297,181.671,182.517,184.423,186.401,185.454,181.265,207.801,215.981,10.9766,5.1153,2.8083,3.5412,2.5941,3.3384,3.4726,3.1042,3.5696,3.6333,3.1013,3.4707,3.759,4.4625,4.4455,5.154,5.6482,4.5018,4.2988,4.9037,5.6692,5.4924,5.7603,5.6166,5.3743,5.6886,5.9509,6.4241,6.9138,7.5092,7.2893,7.7251
