Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.25,-.10,-.17,-.11,-.22,-.19,-.11,-.15,-.24,-.23,-.18,-.18,***,***,-.13,-.17,-.21
1881,-.21,-.15,.02,.04,.05,-.20,-.01,-.04,-.16,-.22,-.19,-.08,-.10,-.10,-.18,.04,-.08,-.19
1882,.15,.13,.04,-.18,-.15,-.24,-.17,-.08,-.15,-.24,-.17,-.37,-.12,-.09,.07,-.10,-.16,-.19
1883,-.30,-.37,-.13,-.19,-.18,-.07,-.08,-.14,-.22,-.11,-.25,-.12,-.18,-.20,-.35,-.17,-.10,-.19
1884,-.14,-.09,-.37,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.31,-.29
1885,-.59,-.34,-.27,-.43,-.46,-.44,-.35,-.32,-.29,-.24,-.24,-.10,-.34,-.36,-.42,-.39,-.37,-.26
1886,-.44,-.51,-.43,-.29,-.25,-.35,-.19,-.31,-.24,-.28,-.28,-.26,-.32,-.31,-.35,-.32,-.28,-.27
1887,-.73,-.58,-.36,-.36,-.32,-.25,-.27,-.36,-.27,-.36,-.26,-.34,-.37,-.36,-.52,-.34,-.29,-.30
1888,-.34,-.37,-.42,-.21,-.23,-.18,-.11,-.16,-.12,.01,.02,-.05,-.18,-.20,-.35,-.29,-.15,-.03
1889,-.10,.16,.05,.09,-.02,-.11,-.08,-.21,-.24,-.26,-.34,-.30,-.11,-.09,.00,.04,-.13,-.28
1890,-.43,-.46,-.41,-.31,-.40,-.25,-.29,-.40,-.37,-.25,-.44,-.32,-.36,-.36,-.40,-.37,-.31,-.35
1891,-.34,-.47,-.18,-.28,-.17,-.21,-.18,-.18,-.16,-.22,-.32,-.04,-.23,-.25,-.38,-.21,-.19,-.23
1892,-.29,-.12,-.40,-.34,-.23,-.22,-.32,-.27,-.17,-.14,-.42,-.40,-.28,-.25,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.23,-.28,-.34,-.25,-.14,-.25,-.22,-.18,-.19,-.32,-.32,-.32,-.59,-.28,-.22,-.20
1894,-.53,-.30,-.24,-.46,-.32,-.41,-.25,-.24,-.28,-.23,-.27,-.22,-.31,-.32,-.38,-.34,-.30,-.26
1895,-.42,-.43,-.33,-.23,-.28,-.22,-.18,-.18,-.13,-.11,-.18,-.15,-.24,-.24,-.36,-.28,-.19,-.14
1896,-.24,-.13,-.27,-.32,-.17,-.12,-.04,-.06,-.08,.05,-.05,-.06,-.12,-.13,-.17,-.25,-.07,-.03
1897,-.17,-.18,-.15,-.04,-.03,-.13,-.03,-.10,-.09,-.14,-.19,-.21,-.12,-.11,-.13,-.07,-.09,-.14
1898,-.04,-.31,-.52,-.32,-.32,-.20,-.23,-.28,-.23,-.35,-.40,-.24,-.29,-.28,-.19,-.38,-.24,-.32
1899,-.18,-.39,-.37,-.21,-.24,-.32,-.17,-.09,-.06,-.05,.11,-.28,-.19,-.18,-.27,-.27,-.19,.00
1900,-.37,-.07,-.01,-.10,-.10,-.11,-.14,-.10,-.06,.08,-.08,-.08,-.09,-.11,-.24,-.07,-.12,-.02
1901,-.23,-.12,.05,-.04,-.16,-.13,-.16,-.21,-.23,-.30,-.18,-.28,-.17,-.15,-.14,-.05,-.17,-.24
1902,-.17,-.10,-.28,-.29,-.33,-.32,-.29,-.31,-.30,-.31,-.37,-.43,-.29,-.28,-.18,-.30,-.31,-.33
1903,-.25,-.07,-.24,-.42,-.41,-.43,-.36,-.46,-.50,-.47,-.43,-.52,-.38,-.37,-.25,-.36,-.42,-.47
1904,-.64,-.60,-.52,-.52,-.53,-.49,-.52,-.50,-.56,-.40,-.19,-.34,-.48,-.50,-.59,-.52,-.50,-.38
1905,-.36,-.60,-.22,-.35,-.31,-.29,-.27,-.21,-.20,-.26,-.08,-.14,-.27,-.29,-.44,-.29,-.26,-.18
1906,-.29,-.30,-.19,-.06,-.27,-.20,-.24,-.20,-.29,-.21,-.39,-.16,-.23,-.23,-.24,-.18,-.21,-.29
1907,-.44,-.52,-.28,-.38,-.47,-.43,-.36,-.35,-.35,-.23,-.47,-.47,-.40,-.37,-.37,-.38,-.38,-.35
1908,-.46,-.33,-.56,-.46,-.39,-.39,-.36,-.47,-.37,-.45,-.53,-.50,-.44,-.44,-.42,-.47,-.41,-.45
1909,-.74,-.47,-.55,-.60,-.56,-.53,-.46,-.34,-.39,-.41,-.33,-.57,-.50,-.49,-.57,-.57,-.44,-.38
1910,-.44,-.43,-.52,-.44,-.35,-.40,-.35,-.37,-.39,-.42,-.58,-.68,-.45,-.44,-.48,-.44,-.37,-.46
1911,-.63,-.59,-.62,-.55,-.53,-.51,-.43,-.44,-.41,-.27,-.22,-.22,-.45,-.49,-.63,-.57,-.46,-.30
1912,-.27,-.16,-.40,-.19,-.22,-.25,-.44,-.55,-.58,-.59,-.41,-.44,-.38,-.36,-.22,-.27,-.41,-.53
1913,-.41,-.46,-.44,-.41,-.45,-.46,-.37,-.34,-.35,-.33,-.20,-.03,-.35,-.39,-.44,-.43,-.39,-.29
1914,.03,-.11,-.25,-.31,-.22,-.27,-.24,-.17,-.17,-.04,-.16,-.05,-.16,-.16,-.03,-.26,-.22,-.12
1915,-.21,-.04,-.10,.06,-.06,-.23,-.13,-.23,-.21,-.25,-.14,-.21,-.15,-.13,-.10,-.04,-.19,-.20
1916,-.14,-.16,-.29,-.32,-.36,-.50,-.37,-.28,-.37,-.34,-.47,-.82,-.37,-.32,-.17,-.32,-.39,-.39
1917,-.58,-.63,-.64,-.56,-.56,-.44,-.26,-.23,-.23,-.44,-.35,-.69,-.47,-.48,-.68,-.59,-.31,-.34
1918,-.48,-.35,-.25,-.45,-.44,-.37,-.32,-.32,-.18,-.07,-.12,-.30,-.30,-.34,-.51,-.38,-.34,-.12
1919,-.21,-.24,-.22,-.14,-.29,-.37,-.30,-.34,-.26,-.21,-.42,-.43,-.28,-.27,-.25,-.21,-.34,-.29
1920,-.26,-.27,-.13,-.25,-.28,-.36,-.31,-.27,-.22,-.27,-.28,-.47,-.28,-.28,-.32,-.22,-.31,-.26
1921,-.05,-.19,-.24,-.30,-.31,-.28,-.16,-.27,-.20,-.04,-.15,-.18,-.20,-.22,-.24,-.28,-.23,-.13
1922,-.35,-.45,-.16,-.24,-.34,-.31,-.28,-.33,-.36,-.32,-.15,-.20,-.29,-.29,-.33,-.24,-.31,-.28
1923,-.28,-.40,-.35,-.42,-.34,-.30,-.32,-.34,-.32,-.14,-.03,-.04,-.27,-.29,-.29,-.37,-.32,-.16
1924,-.23,-.24,-.09,-.31,-.19,-.27,-.30,-.36,-.33,-.36,-.21,-.44,-.28,-.24,-.17,-.20,-.31,-.30
1925,-.39,-.40,-.28,-.26,-.30,-.33,-.28,-.21,-.20,-.18,.05,.06,-.23,-.27,-.41,-.28,-.27,-.11
1926,.20,.02,.11,-.14,-.24,-.27,-.28,-.14,-.15,-.12,-.07,-.30,-.11,-.08,.09,-.09,-.23,-.11
1927,-.28,-.18,-.39,-.31,-.26,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.03,-.09,-.25,-.29,-.30,-.39,-.20,-.23,-.22,-.20,-.10,-.17,-.21,-.22,-.15,-.28,-.27,-.17
1929,-.46,-.59,-.33,-.42,-.39,-.44,-.37,-.33,-.26,-.15,-.12,-.55,-.37,-.33,-.40,-.38,-.38,-.18
1930,-.31,-.27,-.11,-.25,-.25,-.22,-.22,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.38,-.20,-.20,-.04
1931,-.11,-.21,-.11,-.24,-.20,-.08,-.04,-.04,-.07,.05,-.06,-.06,-.10,-.10,-.13,-.18,-.06,-.03
1932,.14,-.18,-.19,-.06,-.18,-.29,-.25,-.22,-.11,-.09,-.28,-.27,-.17,-.15,-.03,-.14,-.25,-.16
1933,-.24,-.30,-.30,-.25,-.30,-.34,-.22,-.24,-.29,-.25,-.31,-.45,-.29,-.28,-.27,-.28,-.27,-.28
1934,-.22,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.15,-.07,.03,-.03,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.15,-.38,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.18,-.20,-.19,-.08,-.27,-.24,-.18
1936,-.28,-.38,-.21,-.20,-.17,-.22,-.10,-.14,-.09,-.03,.01,-.01,-.15,-.17,-.28,-.19,-.15,-.04
1937,-.08,.03,-.21,-.16,-.06,-.05,-.04,.01,.09,.08,.08,-.08,-.03,-.03,-.02,-.14,-.03,.08
1938,.08,.04,.09,.06,-.10,-.17,-.09,-.05,.01,.14,.07,-.13,.00,.00,.01,.02,-.11,.07
1939,-.06,-.07,-.18,-.11,-.05,-.07,-.06,-.06,-.07,-.04,.07,.42,-.02,-.07,-.08,-.11,-.06,-.02
1940,-.01,.08,.09,.17,.10,.11,.12,.06,.15,.10,.16,.31,.12,.13,.16,.12,.10,.13
1941,.17,.30,.10,.16,.16,.12,.21,.14,.02,.35,.22,.21,.18,.19,.26,.14,.16,.19
1942,.29,.02,.05,.09,.10,.04,.00,-.04,-.03,.01,.09,.12,.06,.07,.17,.08,.00,.02
1943,-.01,.17,-.04,.11,.06,-.06,.08,.00,.05,.23,.19,.23,.08,.08,.09,.04,.01,.16
1944,.35,.24,.26,.19,.18,.15,.17,.18,.28,.26,.11,.03,.20,.22,.27,.21,.17,.22
1945,.10,.01,.06,.19,.06,.01,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.06,-.31,-.07,-.05,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.01,-.04,-.07,-.12,.08,.02,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.11,-.14,-.05,-.13,-.23,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.20,-.34,-.22,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.05,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.13,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.07,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.25,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.16,-.19
1957,-.09,-.03,-.04,.00,.09,.15,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.02,.11,.06
1958,.39,.22,.09,.02,.06,-.09,.05,-.05,-.03,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.02,-.04,.04,-.19,-.02,.01
1961,.07,.19,.09,.13,.12,.12,.01,.01,.08,.00,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.14,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.17,.14,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.05,.03,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.02,.02,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.16,-.08,-.01,-.05,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.23,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,.00,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.19,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.14,.06,.03,.13,.08,.07,.06,.06,.15,-.04,.07
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.28,.47,.16,.13,.02,.13,.11,.26
1980,.29,.39,.29,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.14,.12,.23,.41,.32,.30,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.05,.14,.03,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
